Date,CPU Utilization,CPU Power
2024-12-11 13:56:06,0.00000000000000,0.00000000000000
2024-12-11 13:56:07,0.00000000000000,0.00000000000000
2024-12-11 13:56:08,0.00000000000000,0.00000000000000
2024-12-11 13:56:09,0.00000000000000,0.00000000000000
2024-12-11 13:56:10,0.00125944584383,0.21701120547946
2024-12-11 13:56:11,0.00000000000000,0.00000000000000
2024-12-11 13:56:12,0.00000000000000,0.00000000000000
2024-12-11 13:56:13,0.00000000000000,0.00000000000000
2024-12-11 13:56:14,0.00000000000000,0.00000000000000
2024-12-11 13:56:15,0.00000000000000,0.00000000000000
2024-12-11 13:56:16,0.00000000000000,0.00000000000000
2024-12-11 13:56:17,0.00000000000000,0.00000000000000
2024-12-11 13:56:18,0.00000000000000,0.00000000000000
2024-12-11 13:56:19,0.00000000000000,0.00000000000000
2024-12-11 13:56:20,0.00000000000000,0.00000000000000
2024-12-11 13:56:21,0.00000000000000,0.00000000000000
2024-12-11 13:56:22,0.00000000000000,0.00000000000000
2024-12-11 13:56:23,0.00000000000000,0.00000000000000
2024-12-11 13:56:24,0.00000000000000,0.00000000000000
2024-12-11 13:56:25,0.00000000000000,0.00000000000000
2024-12-11 13:56:26,0.00000000000000,0.00000000000000
2024-12-11 13:56:27,0.00000000000000,0.00000000000000
2024-12-11 13:56:28,0.00000000000000,0.00000000000000
2024-12-11 13:56:29,0.00125000000000,0.33637012820504
2024-12-11 13:56:30,0.00000000000000,0.00000000000000
2024-12-11 13:56:31,0.00000000000000,0.00000000000000
2024-12-11 13:56:32,0.00000000000000,0.00000000000000
2024-12-11 13:56:33,0.00000000000000,0.00000000000000
2024-12-11 13:56:34,0.00000000000000,0.00000000000000
2024-12-11 13:56:35,0.00000000000000,0.00000000000000
2024-12-11 13:56:36,0.00000000000000,0.00000000000000
2024-12-11 13:56:37,0.00000000000000,0.00000000000000
2024-12-11 13:56:38,0.00000000000000,0.00000000000000
2024-12-11 13:56:39,0.00000000000000,0.00000000000000
2024-12-11 13:56:40,0.00000000000000,0.00000000000000
2024-12-11 13:56:41,0.00000000000000,0.00000000000000
2024-12-11 13:56:42,0.00000000000000,0.00000000000000
2024-12-11 13:56:43,0.00000000000000,0.00000000000000
2024-12-11 13:56:44,0.00000000000000,0.00000000000000
2024-12-11 13:56:45,0.00000000000000,0.00000000000000
2024-12-11 13:56:46,0.00000000000000,0.00000000000000
2024-12-11 13:56:47,0.00000000000000,0.00000000000000
2024-12-11 13:56:48,0.00000000000000,0.00000000000000
2024-12-11 13:56:49,0.00000000000000,0.00000000000000
2024-12-11 13:56:50,0.00000000000000,0.00000000000000
2024-12-11 13:56:51,0.00000000000000,0.00000000000000
2024-12-11 13:56:52,0.00000000000000,0.00000000000000
2024-12-11 13:56:53,0.00000000000000,0.00000000000000
2024-12-11 13:56:54,0.00000000000000,0.00000000000000
2024-12-11 13:56:55,0.00000000000000,0.00000000000000
2024-12-11 13:56:56,0.00000000000000,0.00000000000000
2024-12-11 13:56:57,0.00000000000000,0.00000000000000
2024-12-11 13:56:58,0.00000000000000,0.00000000000000
2024-12-11 13:56:59,0.00000000000000,0.00000000000000
2024-12-11 13:57:00,0.00124069478908,0.22853374193543
2024-12-11 13:57:01,0.00000000000000,0.00000000000000
2024-12-11 13:57:02,0.00000000000000,0.00000000000000
2024-12-11 13:57:03,0.00000000000000,0.00000000000000
2024-12-11 13:57:04,0.00000000000000,0.00000000000000
2024-12-11 13:57:05,0.00000000000000,0.00000000000000
2024-12-11 13:57:06,0.00000000000000,0.00000000000000
2024-12-11 13:57:07,0.00000000000000,0.00000000000000
2024-12-11 13:57:08,0.00000000000000,0.00000000000000
2024-12-11 13:57:09,0.00000000000000,0.00000000000000
2024-12-11 13:57:10,0.00000000000000,0.00000000000000
2024-12-11 13:57:11,0.00000000000000,0.00000000000000
2024-12-11 13:57:12,0.00000000000000,0.00000000000000
2024-12-11 13:57:13,0.00000000000000,0.00000000000000
2024-12-11 13:57:14,0.00000000000000,0.00000000000000
2024-12-11 13:57:15,0.00000000000000,0.00000000000000
2024-12-11 13:57:16,0.00000000000000,0.00000000000000
2024-12-11 13:57:17,0.00000000000000,0.00000000000000
2024-12-11 13:57:18,0.00000000000000,0.00000000000000
2024-12-11 13:57:19,0.00125944584383,0.37263437142828
2024-12-11 13:57:20,0.00000000000000,0.00000000000000
2024-12-11 13:57:21,0.00000000000000,0.00000000000000
2024-12-11 13:57:22,0.00000000000000,0.00000000000000
2024-12-11 13:57:23,0.00000000000000,0.00000000000000
2024-12-11 13:57:24,0.00000000000000,0.00000000000000
2024-12-11 13:57:25,0.00000000000000,0.00000000000000
2024-12-11 13:57:26,0.00000000000000,0.00000000000000
2024-12-11 13:57:27,0.00000000000000,0.00000000000000
2024-12-11 13:57:28,0.00000000000000,0.00000000000000
2024-12-11 13:57:29,0.00000000000000,0.00000000000000
2024-12-11 13:57:30,0.00000000000000,0.00000000000000
2024-12-11 13:57:31,0.00000000000000,0.00000000000000
2024-12-11 13:57:32,0.00000000000000,0.00000000000000
2024-12-11 13:57:33,0.00000000000000,0.00000000000000
2024-12-11 13:57:34,0.00000000000000,0.00000000000000
2024-12-11 13:57:35,0.00000000000000,0.00000000000000
2024-12-11 13:57:36,0.00000000000000,0.00000000000000
2024-12-11 13:57:37,0.00000000000000,0.00000000000000
2024-12-11 13:57:38,0.00125313283208,0.34684744736832
2024-12-11 13:57:39,0.00000000000000,0.00000000000000
2024-12-11 13:57:40,0.00000000000000,0.00000000000000
2024-12-11 13:57:41,0.00000000000000,0.00000000000000
2024-12-11 13:57:42,0.00000000000000,0.00000000000000
2024-12-11 13:57:43,0.00000000000000,0.00000000000000
2024-12-11 13:57:44,0.00000000000000,0.00000000000000
2024-12-11 13:57:45,0.00000000000000,0.00000000000000
2024-12-11 13:57:46,0.00124843945069,0.32043680000024
2024-12-11 13:57:47,0.00000000000000,0.00000000000000
2024-12-11 13:57:48,0.00000000000000,0.00000000000000
2024-12-11 13:57:49,0.00000000000000,0.00000000000000
2024-12-11 13:57:50,0.00000000000000,0.00000000000000
2024-12-11 13:57:51,0.00000000000000,0.00000000000000
2024-12-11 13:57:52,0.00000000000000,0.00000000000000
2024-12-11 13:57:53,0.00000000000000,0.00000000000000
2024-12-11 13:57:54,0.00000000000000,0.00000000000000
2024-12-11 13:57:55,0.00000000000000,0.00000000000000
2024-12-11 13:57:56,0.00000000000000,0.00000000000000
2024-12-11 13:57:57,0.00000000000000,0.00000000000000
2024-12-11 13:57:58,0.00000000000000,0.00000000000000
2024-12-11 13:57:59,0.00000000000000,0.00000000000000
